Author,Venue,Submissions
Jon Crowcroft,ICN,3
Jon Crowcroft,E-Energy,4
Jon Crowcroft,SenSys,3
Jon Crowcroft,SoSR,0
Jon Crowcroft,LANC,0
Jon Crowcroft,HotNets,2
Jon Crowcroft,ANRW,0
Jon Crowcroft,ANCS,0
Arvind Krishnamurthy,SIGCOMM,15
Arvind Krishnamurthy,IMC,13
Arvind Krishnamurthy,CoNext,2
Arvind Krishnamurthy,ICN,0
Arvind Krishnamurthy,E-Energy,0
Arvind Krishnamurthy,SenSys,0
Arvind Krishnamurthy,SoSR,0
Arvind Krishnamurthy,LANC,0
Arvind Krishnamurthy,HotNets,7
Arvind Krishnamurthy,ANRW,0
Arvind Krishnamurthy,ANCS,0
Deborah Estrin,SIGCOMM,10
Deborah Estrin,IMC,1
Deborah Estrin,CoNext,1
Deborah Estrin,ICN,0
Deborah Estrin,E-Energy,0
Deborah Estrin,SenSys,23
Deborah Estrin,SoSR,0
Deborah Estrin,LANC,0
Deborah Estrin,HotNets,1
Deborah Estrin,ANRW,0
Deborah Estrin,ANCS,0
Sachin Katti,SIGCOMM,20
Sachin Katti,IMC,2
Sachin Katti,CoNext,4
Sachin Katti,ICN,0
Sachin Katti,E-Energy,0
Sachin Katti,SenSys,2
Sachin Katti,SoSR,0
Sachin Katti,LANC,0
Sachin Katti,HotNets,8
Sachin Katti,ANRW,0
Sachin Katti,ANCS,0
Tian He,SIGCOMM,0
Tian He,IMC,0
Tian He,CoNext,0
Tian He,ICN,0
Tian He,E-Energy,0
Tian He,SenSys,35
Tian He,SoSR,0
Tian He,LANC,0
Tian He,HotNets,0
Tian He,ANRW,0
Tian He,ANCS,0
Hui Zhang,SIGCOMM,19
Hui Zhang,IMC,5
Hui Zhang,CoNext,4
Hui Zhang,ICN,0
Hui Zhang,E-Energy,0
Hui Zhang,SenSys,0
Hui Zhang,SoSR,0
Hui Zhang,LANC,0
Hui Zhang,HotNets,5
Hui Zhang,ANRW,0
Hui Zhang,ANCS,1
George Varghese,SIGCOMM,26
George Varghese,IMC,3
George Varghese,CoNext,1
George Varghese,ICN,0
George Varghese,E-Energy,0
George Varghese,SenSys,0
George Varghese,SoSR,0
George Varghese,LANC,0
George Varghese,HotNets,2
George Varghese,ANRW,0
George Varghese,ANCS,2
Amin Vahdat,SIGCOMM,23
Amin Vahdat,IMC,0
Amin Vahdat,CoNext,3
Amin Vahdat,ICN,0
Amin Vahdat,E-Energy,0
Amin Vahdat,SenSys,0
Amin Vahdat,SoSR,1
Amin Vahdat,LANC,0
Amin Vahdat,HotNets,2
Amin Vahdat,ANRW,0
Amin Vahdat,ANCS,5
Lixia Zhang,SIGCOMM,8
Lixia Zhang,IMC,0
Lixia Zhang,CoNext,0
Lixia Zhang,ICN,23
Lixia Zhang,E-Energy,0
Lixia Zhang,SenSys,1
Lixia Zhang,SoSR,0
Lixia Zhang,LANC,0
Lixia Zhang,HotNets,1
Lixia Zhang,ANRW,0
Lixia Zhang,ANCS,0
Nick McKeown,SIGCOMM,19
Nick McKeown,IMC,2
Nick McKeown,CoNext,3
Nick McKeown,ICN,0
Nick McKeown,E-Energy,0
Nick McKeown,SenSys,0
Nick McKeown,SoSR,0
Nick McKeown,LANC,0
Nick McKeown,HotNets,4
Nick McKeown,ANRW,0
Nick McKeown,ANCS,5
John A. Stankovic,SIGCOMM,0
John A. Stankovic,IMC,0
John A. Stankovic,CoNext,0
John A. Stankovic,ICN,0
John A. Stankovic,E-Energy,0
John A. Stankovic,SenSys,32
John A. Stankovic,SoSR,0
John A. Stankovic,LANC,0
John A. Stankovic,HotNets,0
John A. Stankovic,ANRW,0
John A. Stankovic,ANCS,0
Sylvia Ratnasamy,SIGCOMM,17
Sylvia Ratnasamy,IMC,0
Sylvia Ratnasamy,CoNext,4
Sylvia Ratnasamy,ICN,0
Sylvia Ratnasamy,E-Energy,0
Sylvia Ratnasamy,SenSys,0
Sylvia Ratnasamy,SoSR,0
Sylvia Ratnasamy,LANC,0
Sylvia Ratnasamy,HotNets,11
Sylvia Ratnasamy,ANRW,0
Sylvia Ratnasamy,ANCS,0
Christophe Diot,SIGCOMM,9
Christophe Diot,IMC,8
Christophe Diot,CoNext,14
Christophe Diot,ICN,0
Christophe Diot,E-Energy,0
Christophe Diot,SenSys,0
Christophe Diot,SoSR,0
Christophe Diot,LANC,0
Christophe Diot,HotNets,0
Christophe Diot,ANRW,0
Christophe Diot,ANCS,0
David E. Culler,SIGCOMM,0
David E. Culler,IMC,0
David E. Culler,CoNext,0
David E. Culler,ICN,0
